pray,love,god,peace,soul,wisdom,faith,holy,spirit,truth,sin,grace,heaven,earth,light,dark,hope,joy,mercy,bless,label
0.1818181818181818,0.0,0.0,0.625,0.5217391304347826,0.43478260869565216,0.2608695652173913,0.7619047619047619,0.631578947368421,0.08333333333333333,0.2727272727272727,0.38095238095238093,0.5882352941176471,0.30000000000000004,0.5416666666666666,0.55,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.6363636363636364,3
0.6818181818181818,0.1764705882352941,0.4210526315789473,0.5833333333333333,0.6086956521739131,0.0,1.0,0.14285714285714285,0.10526315789473684,0.3333333333333333,0.0,0.3333333333333333,0.0,0.75,0.08333333333333333,0.25,0.41666666666666663,0.38888888888888884,0.41666666666666663,0.18181818181818182,5
0.7727272727272727,0.29411764705882354,0.5789473684210527,0.0,0.5652173913043478,0.6086956521739131,0.0,0.0,0.42105263157894735,0.4583333333333333,0.3181818181818182,0.23809523809523808,0.1764705882352941,0.9,0.5416666666666666,0.4,0.125,0.0,0.25,0.5454545454545454,1
0.22727272727272727,0.3529411764705882,0.3684210526315789,0.25,0.7391304347826086,0.21739130434782608,0.17391304347826086,0.7142857142857142,0.6842105263157894,0.3333333333333333,0.2727272727272727,0.5714285714285714,0.8823529411764706,0.15000000000000002,0.41666666666666663,0.6000000000000001,0.5416666666666666,0.2777777777777778,0.29166666666666663,0.8181818181818182,2
0.22727272727272727,0.47058823529411764,0.31578947368421056,0.29166666666666663,0.0,0.7391304347826086,0.34782608695652173,0.8095238095238095,0.2631578947368421,0.7083333333333333,0.18181818181818182,0.6666666666666666,0.4117647058823529,0.0,0.8333333333333333,0.75,0.25,0.5,0.7916666666666666,0.3181818181818182,4
0.31818181818181823,0.47058823529411764,0.10526315789473684,0.6666666666666666,0.30434782608695654,0.34782608695652173,0.043478260869565216,0.5714285714285714,0.7894736842105263,0.041666666666666664,1.0,0.47619047619047616,0.0,0.7000000000000001,0.5833333333333333,0.45,0.7083333333333333,0.38888888888888884,0.375,0.5454545454545454,0
0.5909090909090909,0.47058823529411764,0.6842105263157894,0.5,0.4782608695652174,0.0,0.8260869565217391,0.6190476190476191,0.15789473684210525,0.125,0.3181818181818182,0.0,0.0,0.65,0.16666666666666666,0.25,0.5416666666666666,0.0,0.4583333333333333,0.3181818181818182,5
0.5,0.1764705882352941,0.8421052631578947,0.3333333333333333,0.9565217391304348,0.043478260869565216,0.34782608695652173,0.8571428571428571,0.5789473684210527,0.25,0.2272727272727273,0.38095238095238093,0.5294117647058824,0.35000000000000003,0.625,0.4,0.29166666666666663,0.2222222222222222,0.16666666666666666,0.9545454545454546,2
0.6363636363636364,0.0,0.8421052631578947,0.041666666666666664,0.8695652173913043,0.0,0.34782608695652173,0.7619047619047619,0.5263157894736842,0.29166666666666663,0.13636363636363635,0.6666666666666666,0.8823529411764706,0.25,0.5,0.7000000000000001,0.5416666666666666,0.0,0.08333333333333333,0.9545454545454546,2
0.4545454545454545,0.11764705882352941,0.4210526315789473,1.0,0.43478260869565216,0.7826086956521738,0.6086956521739131,0.9047619047619047,0.4736842105263157,0.0,0.2272727272727273,0.2857142857142857,0.6470588235294118,0.0,0.625,0.9,0.6666666666666666,0.9444444444444444,0.0,0.3181818181818182,3
